"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
1,"1984-10-26","CHI","","WSB","W",1,"40:00",5,16,0.31,0,0,NA,6,7,0.86,1,5,6,7,2,4,5,2,16,12.5,"Michael Jordan","Regular Season"
2,"1984-10-27","CHI","@","MIL","L",1,"34:00",8,13,0.62,0,0,NA,5,5,1,3,2,5,5,2,1,3,4,21,19.4,"Michael Jordan","Regular Season"
3,"1984-10-29","CHI","","MIL","W",1,"34:00",13,24,0.54,0,0,NA,11,13,0.85,2,2,4,5,6,2,3,4,37,32.9,"Michael Jordan","Regular Season"
4,"1984-10-30","CHI","@","KCK","W",1,"36:00",8,21,0.38,0,0,NA,9,9,1,2,2,4,5,3,1,6,5,25,14.7,"Michael Jordan","Regular Season"
5,"1984-11-01","CHI","@","DEN","L",1,"33:00",7,15,0.47,0,0,NA,3,4,0.75,3,2,5,5,1,1,2,4,17,13.2,"Michael Jordan","Regular Season"
6,"1984-11-07","CHI","@","DET","W",1,"27:00",9,19,0.47,0,0,NA,7,9,0.78,1,3,4,3,3,1,5,5,25,14.9,"Michael Jordan","Regular Season"
7,"1984-11-08","CHI","@","NYK","W",1,"33:00",15,22,0.68,0,0,NA,3,4,0.75,4,4,8,5,3,2,5,2,33,29.3,"Michael Jordan","Regular Season"
8,"1984-11-10","CHI","@","IND","W",1,"42:00",9,22,0.41,0,0,NA,9,12,0.75,2,7,9,4,2,5,3,4,27,21.2,"Michael Jordan","Regular Season"
9,"1984-11-13","CHI","","SAS","W",1,"43:00",18,27,0.67,1,1,1,8,11,0.73,2,8,10,4,3,2,4,4,45,NA,"Michael Jordan","Regular Season"
10,"1984-11-15","CHI","","BOS","L",1,"33:00",12,24,0.5,0,1,0,3,3,1,0,2,2,2,2,1,1,4,27,17.1,"Michael Jordan","Regular Season"
11,"1984-11-17","CHI","","PHI","L",1,"44:00",4,17,0.24,0,0,NA,8,8,1,0,5,5,7,5,2,4,5,16,12.5,"Michael Jordan","Regular Season"
12,"1984-11-19","CHI","","IND","L",1,"39:00",11,26,0.42,0,3,0,12,16,0.75,2,3,5,2,2,1,3,3,34,20.8,"Michael Jordan","Regular Season"
13,"1984-11-21","CHI","@","MIL","L",1,"42:00",11,22,0.5,0,0,NA,13,14,0.93,4,9,13,2,2,2,6,3,35,26.7,"Michael Jordan","Regular Season"
14,"1984-11-23","CHI","@","SEA","W",1,"30:00",9,13,0.69,0,0,NA,5,6,0.83,0,4,4,3,4,1,4,4,23,19.5,"Michael Jordan","Regular Season"
15,"1984-11-24","CHI","@","POR","L",1,"41:00",10,24,0.42,0,1,0,10,10,1,3,3,6,8,3,1,4,4,30,23.9,"Michael Jordan","Regular Season"
16,"1984-11-27","CHI","@","GSW","L",1,"24:00",6,10,0.6,0,0,NA,1,1,1,0,2,2,3,3,2,4,1,13,11.1,"Michael Jordan","Regular Season"
17,"1984-11-29","CHI","@","PHO","L",1,"30:00",9,17,0.53,1,1,1,3,4,0.75,1,2,3,2,2,0,2,5,22,NA,"Michael Jordan","Regular Season"
18,"1984-11-30","CHI","@","LAC","W",1,"37:00",9,15,0.6,0,0,NA,2,4,0.5,2,3,5,5,3,0,4,4,20,15.5,"Michael Jordan","Regular Season"
19,"1984-12-02","CHI","@","LAL","W",1,"42:00",7,13,0.54,0,0,NA,6,8,0.75,2,0,2,3,1,1,4,3,20,12.9,"Michael Jordan","Regular Season"
20,"1984-12-04","CHI","","NJN","W",1,"35:00",7,13,0.54,0,0,NA,6,6,1,1,2,3,6,1,0,3,3,20,NA,"Michael Jordan","Regular Season"
21,"1984-12-07","CHI","","NYK","W",1,"43:00",8,16,0.5,0,1,0,5,7,0.71,1,1,2,3,2,0,6,5,21,9.3,"Michael Jordan","Regular Season"
22,"1984-12-08","CHI","","DAL","W",1,"35:00",10,23,0.43,0,0,NA,0,0,NA,4,3,7,2,0,2,2,3,20,11.2,"Michael Jordan","Regular Season"
23,"1984-12-11","CHI","","DET","L",1,"37:00",13,28,0.46,0,1,0,1,3,0.33,1,7,8,6,2,0,3,4,27,16.2,"Michael Jordan","Regular Season"
24,"1984-12-12","CHI","@","DET","L",1,"30:00",6,17,0.35,0,2,0,9,10,0.9,0,1,1,2,2,1,1,5,21,12.5,"Michael Jordan","Regular Season"
25,"1984-12-14","CHI","@","NJN","L",1,"44:00",12,25,0.48,0,0,NA,10,10,1,2,6,8,8,1,0,0,4,34,29.5,"Michael Jordan","Regular Season"
26,"1984-12-15","CHI","","PHI","L",1,"27:00",7,16,0.44,0,0,NA,0,0,NA,1,1,2,2,1,0,1,2,14,7.2,"Michael Jordan","Regular Season"
27,"1984-12-18","CHI","","HOU","L",1,"45:00",8,20,0.4,0,1,0,2,4,0.5,1,2,3,8,3,0,1,2,18,14.5,"Michael Jordan","Regular Season"
28,"1984-12-20","CHI","@","ATL","W",1,"41:00",12,22,0.55,0,0,NA,10,16,0.62,4,4,8,7,5,1,7,5,34,26.6,"Michael Jordan","Regular Season"
