"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
1,"1996-11-03","LAL","","MIN","W",0,"6:00",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,1,1,1,0,-1.1,"Kobe Bryant","Regular Season"
2,"1996-11-05","LAL","@","NYK","W",0,"3:00",0,1,0,0,0,NA,1,2,0.5,0,0,0,0,0,0,1,0,1,-1.1,"Kobe Bryant","Regular Season"
3,"1996-11-06","LAL","@","CHH","L",0,"7:00",2,3,0.67,1,2,0.5,0,0,NA,0,0,0,0,0,0,3,0,5,0.7,"Kobe Bryant","Regular Season"
4,"1996-11-08","LAL","@","TOR","L",0,"17:00",3,8,0.38,2,3,0.67,2,4,0.5,0,3,3,0,0,1,0,3,10,5.2,"Kobe Bryant","Regular Season"
5,"1996-11-10","LAL","","ATL","W",0,"8:00",0,3,0,0,0,NA,2,2,1,1,2,3,1,0,0,0,0,2,1.9,"Kobe Bryant","Regular Season"
6,"1996-11-12","LAL","@","HOU","W",0,"5:00",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,2,0,2,-0.7,"Kobe Bryant","Regular Season"
7,"1996-11-13","LAL","@","SAS","L",0,"6:00",2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,6,5.6,"Kobe Bryant","Regular Season"
8,"1996-11-15","LAL","","LAC","W",0,"7:00",1,4,0.25,0,2,0,2,3,0.67,0,0,0,0,0,0,1,4,4,-1.4,"Kobe Bryant","Regular Season"
9,"1996-11-17","LAL","@","PHO","W",0,"14:00",5,8,0.62,4,6,0.67,2,2,1,2,0,2,2,0,0,4,2,16,10.4,"Kobe Bryant","Regular Season"
10,"1996-11-19","LAL","@","GSW","W",0,"8:00",0,2,0,0,1,0,3,4,0.75,0,2,2,1,0,0,1,2,3,0.7,"Kobe Bryant","Regular Season"
11,"1996-11-20","LAL","","UTA","L",0,"21:00",4,5,0.8,3,3,1,0,0,NA,0,1,1,1,0,1,2,1,11,8.4,"Kobe Bryant","Regular Season"
12,"1996-11-26","LAL","@","PHI","W",0,"21:00",4,10,0.4,2,5,0.4,2,2,1,0,1,1,1,0,0,3,1,12,4.2,"Kobe Bryant","Regular Season"
13,"1996-11-27","LAL","@","BOS","L",0,"20:00",1,7,0.14,0,3,0,0,0,NA,1,3,4,1,0,1,2,3,2,-2.7,"Kobe Bryant","Regular Season"
14,"1996-11-29","LAL","@","DET","W",0,"7:00",0,1,0,0,0,NA,1,2,0.5,1,0,1,0,0,1,0,1,1,0.9,"Kobe Bryant","Regular Season"
15,"1996-12-01","LAL","","DEN","W",0,"3:00",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,2,0.3,"Kobe Bryant","Regular Season"
